# SPECTRUM - DATA AND BEST FITTING MODEL.
# FOR PLOTTING
#
# Config file was: /home/mtannock/ModelFittingTools/ExampleFitting2/config.txt
# Input keywords were: /home/mtannock/ModelFittingTools/ExampleFitting2/config.txt
#     2MASS0407
#     /home/mtannock/ModelFittingTools/ExampleFitting2/sampledata2/
#     2M0407_GNIRS_baryvelcor_Nov9.dat
#     2M0407_GNIRS_error_baryvelcor_Nov9.dat
#     GNIRS
#     BTSETTL-CIFIST2011
#     /home/mtannock/ModelFittingTools/ExampleFitting2/samplemodels2/
#     /home/mtannock/ModelFittingTools/ExampleFitting2/BT-Settlmodelnames.txt
#     K
#     2.275,2.3322
#     2.31,2.32
#     0
#     /home/mtannock/ModelFittingTools/ExampleFitting2/
#     Sept10_2022
#     80
#     85
#     1.0
#     40
#     45
#     1.0
#     0.6
#     0.018
#     0
#     /home/mtannock/ModelFittingTools/ExampleFitting2/samplemodels2/
#     Scale
#     5
#     1
#
# NO TELLURIC LINE MASK APPLIED
# MODEL IS: lte017-5.0-0.0a+0.0.BT-Settl.spec.7
# VSINI IS: 84.000000
# RV IS: 44.000000
# DATA divided by factor -- factor: 0.98804181
# reduced chi square is:        1.2161050
#
# wavelength (um),    data flux,      uncertainty,     model flux
       2.2892554       1.2797646     0.045063136       1.2598607
       2.2893170       1.2372474     0.040509883       1.2592507
       2.2893786       1.2743540     0.063513347       1.2605168
       2.2894402       1.2946191     0.094247160       1.2611250
       2.2895019       1.2928145     0.055180475       1.2640937
       2.2895635       1.3246986     0.048761449       1.2681766
       2.2896251       1.2916318     0.071032461       1.2714273
       2.2896867       1.2017460     0.043591808       1.2755042
       2.2897484       1.2202097     0.046869492       1.2780474
       2.2898100       1.2307988     0.056648514       1.2804503
       2.2898716       1.2389928     0.063565165       1.2835216
       2.2899332       1.2783351     0.042331033       1.2873840
       2.2899948       1.3499480     0.047111355       1.2916138
       2.2900565       1.3576525     0.054552873       1.2886783
       2.2901181       1.1956864     0.060083534       1.2812651
       2.2901797       1.1274192     0.056530965       1.2759189
       2.2902413       1.1783839     0.053168102       1.2731484
       2.2903030       1.2304676     0.055877994       1.2719177
       2.2903646       1.2387678     0.047970558       1.2710537
       2.2904262       1.2231456     0.042763611       1.2703316
       2.2904878       1.1575978     0.063221447       1.2697004
       2.2905494       1.1838484     0.074004035       1.2666750
       2.2906111       1.2165087     0.054619891       1.2642466
       2.2906727       1.2087266     0.039619875       1.2642520
       2.2907343       1.2077137     0.036559386       1.2647304
       2.2907959       1.2027217     0.058821368       1.2636467
       2.2908576       1.1960754     0.055705041       1.2634720
       2.2909192       1.1887429     0.075479068       1.2636699
       2.2909808       1.2222355     0.062682897       1.2623352
       2.2910424       1.2129071     0.025590257       1.2550002
       2.2911040       1.2275449     0.036694855       1.2489467
       2.2911657       1.2431851     0.053430618       1.2456777
       2.2912273       1.2332530     0.058246802       1.2449912
       2.2912889       1.2130096     0.057169584       1.2464412
       2.2913505       1.2149135     0.045309873       1.2482005
       2.2914122       1.2115454     0.066982484       1.2410558
       2.2914738       1.1968430     0.069141131       1.2249727
       2.2915354       1.1575816     0.064478305       1.2080601
       2.2915970       1.1647723     0.047648253       1.1939304
       2.2916586       1.1843609     0.076106960       1.1824327
       2.2917203       1.1549313     0.063246996       1.1708430
       2.2917819       1.1550867     0.054793942       1.1612968
       2.2918435       1.1243896     0.050806958       1.1549887
       2.2919051       1.1633880     0.051439943       1.1493571
       2.2919668       1.1522505     0.053277651       1.1416311
       2.2920284       1.1449738     0.061121083       1.1353080
       2.2920900       1.2243502     0.065522336       1.1338064
       2.2921516       1.1682994     0.080050332       1.1373920
       2.2922132       1.1496253     0.051227164       1.1449229
       2.2922749       1.1744460     0.072733801       1.1560979
       2.2923365       1.1627299     0.073415331       1.1643450
       2.2923981       1.1799726     0.087713766       1.1700242
       2.2924597       1.1628783     0.034442227       1.1765527
       2.2925214       1.1554751     0.047382079       1.1854867
       2.2925830       1.1727240      0.13966713       1.1960701
       2.2926446       1.2449999      0.16693019       1.2076799
       2.2927062       1.1779511     0.044042560       1.2222302
       2.2927678       1.1731372     0.068031156       1.2321759
       2.2928295       1.1896021     0.059938755       1.2300758
       2.2928911       1.2228669     0.057247497       1.2265687
       2.2929527       1.2557032     0.046876125       1.2241568
       2.2930143       1.1921230     0.039205177       1.2208372
       2.2930760       1.1941360     0.049584354       1.2155591
       2.2931376       1.2557515     0.028161408       1.2099233
       2.2931992       1.1964360     0.038918457       1.2019523
       2.2932608       1.1975918     0.021254716       1.1850663
       2.2933224       1.2069868     0.036164091       1.1567297
       2.2933841       1.1747233     0.047592139       1.1231915
       2.2934457       1.1178870     0.044872854       1.0889938
       2.2935073       1.0803077     0.026491362       1.0517786
       2.2935689       1.0875304     0.045522294       1.0161235
       2.2936306       1.0422451     0.037644140      0.98080761
       2.2936922      0.98139545     0.021005599      0.94392246
       2.2937538      0.98036677     0.060186993      0.91175597
       2.2938154      0.94374307     0.071126703      0.88257007
       2.2938770      0.85037836     0.038607734      0.85418657
       2.2939387      0.92234185     0.040218529      0.82804791
       2.2940003      0.91613275     0.037486729      0.80903511
       2.2940619      0.82601871     0.051846108      0.79482840
       2.2941235      0.83371910     0.051094873      0.77818070
       2.2941852      0.86857626     0.044279465      0.76076814
       2.2942468      0.79409375     0.045700336      0.75157377
       2.2943084      0.73108118     0.035077433      0.74795093
       2.2943700      0.76429608     0.039345844      0.74862222
       2.2944316      0.78655466     0.031403062      0.75155105
       2.2944933      0.96011961     0.092799800      0.76101234
       2.2945549      0.80538506     0.055693190      0.77600479
       2.2946165      0.80131262     0.049664192      0.79053699
       2.2946781      0.87899257     0.051377646      0.80166832
       2.2947398      0.87621833     0.033764230      0.80831843
       2.2948014      0.83353921     0.045843733      0.81004794
       2.2948630      0.85602091     0.054718298      0.81308442
       2.2949246      0.85550936     0.041405474      0.82170534
       2.2949862      0.84351451     0.045944089      0.83025744
       2.2950479      0.89600621     0.076128546      0.83687654
       2.2951095      0.80434606     0.047517297      0.84223275
       2.2951711      0.80993410     0.048423872      0.84387540
       2.2952327      0.88358340     0.046829555      0.84391200
       2.2952944      0.88869453     0.054274661      0.84560402
       2.2953560      0.90463214     0.054698519      0.85134522
       2.2954176      0.84907046     0.045734768      0.85789746
       2.2954792      0.83145308     0.046089161      0.85876865
       2.2955408      0.86282198     0.040353821      0.85533892
       2.2956025      0.90172489     0.048782171      0.85493988
       2.2956641      0.99508277      0.12088941      0.85882778
       2.2957257       1.0596724     0.048616152      0.86403140
       2.2957873      0.90098465     0.048708534      0.86787373
       2.2958490      0.83031332     0.037714686      0.87446386
       2.2959106      0.81765420     0.057310469      0.88292201
       2.2959722      0.85025408     0.064407319      0.88797816
       2.2960338      0.89224302     0.049453109      0.88923357
       2.2960954      0.91000692      0.10259700      0.88701753
       2.2961571      0.96029029      0.10741306      0.88422403
       2.2962187      0.89688439     0.062643122      0.88487969
       2.2962803      0.93260702     0.036171424      0.89126372
       2.2963419      0.94702076     0.026351308      0.89871854
       2.2964036      0.92465777     0.025280092      0.90620684
       2.2964652      0.89145590     0.053196709      0.90331025
       2.2965268      0.94389198     0.040011816      0.89628040
       2.2965884      0.94495037     0.043682303      0.89126946
       2.2966500      0.91714140     0.031689462      0.89109757
       2.2967117      0.89822821     0.047764828      0.89632357
       2.2967733      0.87270576     0.047721716      0.90554032
       2.2968349      0.97217659     0.050179953      0.91394833
       2.2968965       1.0173444     0.043389591      0.91616279
       2.2969582      0.96724917     0.040705199      0.91505227
       2.2970198      0.89009032     0.044233385      0.90858223
       2.2970814      0.96837733     0.041440455      0.90440010
       2.2971430      0.96994792     0.041726427      0.90808207
       2.2972046      0.91906877     0.025514583      0.91821354
       2.2972663      0.96334867     0.037798881      0.93123896
       2.2973279      0.96213486     0.027000416      0.94025852
       2.2973895      0.94240101     0.042177981      0.94921960
       2.2974511      0.92919441     0.032685926      0.95871116
       2.2975128      0.94994629     0.034702379      0.96570115
       2.2975744       1.0039722     0.058684584      0.96829490
       2.2976360      0.99517717     0.051418655      0.96783624
       2.2976976      0.99367364     0.048078819      0.96908973
       2.2977592       1.0802730     0.058355648      0.97268276
       2.2978209       1.0332408     0.047683673      0.96882994
       2.2978825      0.98174999     0.053369918      0.96062254
       2.2979441      0.95314834     0.023545243      0.95472476
       2.2980057      0.94593344     0.038821171      0.94980845
       2.2980674      0.95734760     0.041681471      0.94898882
       2.2981290      0.94378105     0.028752562      0.94876553
       2.2981906      0.93755527     0.034865739      0.94463964
       2.2982522      0.95703771     0.031343513      0.93994851
       2.2983138      0.92911479     0.040674785      0.93380683
       2.2983755      0.89398922     0.042754803      0.92125262
       2.2984371      0.95057052     0.049454871      0.91014958
       2.2984987       1.0150194     0.046601430      0.90419710
       2.2985603      0.97874691     0.057596563      0.90397552
       2.2986220      0.89613732     0.041859538      0.90949576
       2.2986836      0.83441802     0.044619391      0.91976461
       2.2987452      0.79851216     0.037557034      0.93234719
       2.2988068      0.81663092     0.042191707      0.94277331
       2.2988684       1.0223686     0.040605568      0.94383740
       2.2989301       1.0928928     0.034696809      0.93641818
       2.2989917      0.98270223     0.057479916      0.92978773
       2.2990533      0.87791288     0.021825421      0.92668543
       2.2991149      0.85728066     0.033000253      0.92853893
       2.2991766      0.88305992     0.062997176      0.93222521
       2.2992382      0.92959377     0.041440483      0.94108212
       2.2992998      0.96245269     0.027074067      0.95271017
       2.2993614      0.96244983     0.032421231      0.96736859
       2.2994230      0.97001816     0.045626552      0.98365806
       2.2994847       1.0211783     0.029644024      0.99307863
       2.2995463       1.0306957     0.027614341      0.98618910
       2.2996079      0.95109019     0.023793193      0.97628981
       2.2996695      0.93173504     0.035895781      0.96842114
       2.2997312      0.95388079     0.053235458      0.96135789
       2.2997928      0.94566646     0.036986647      0.95830259
       2.2998544      0.94271217     0.043129636      0.96029749
       2.2999160      0.94884848     0.026880402      0.96820646
       2.2999776      0.95706647     0.030368399      0.98196636
       2.3000393      0.97258867     0.036672201       1.0003995
       2.3001009       1.0248763     0.051993828       1.0197856
       2.3001625       1.0717361     0.056505476       1.0311067
       2.3002241       1.0393369     0.046136258       1.0285969
       2.3002858       1.0035960     0.031074755       1.0147815
       2.3003474      0.99115765     0.039803220      0.99878801
       2.3004090       1.0068154     0.029475322      0.98247320
       2.3004706      0.94518812     0.044172453      0.96961492
       2.3005322      0.92631417     0.061194517      0.96144225
       2.3005939      0.96985591     0.045453437      0.96012490
       2.3006555      0.95673846     0.042095231      0.96498906
       2.3007171      0.96470345     0.033199140      0.97567709
       2.3007787      0.96229838     0.024821498      0.98850134
       2.3008404       1.0022459     0.029905596      0.99488445
       2.3009020       1.0283984     0.036164959      0.99104068
       2.3009636      0.96020877     0.028196047      0.98252536
       2.3010252      0.95250535     0.036460970      0.96713685
       2.3010868      0.95033755     0.026744998      0.94684600
       2.3011485      0.94052831     0.030686418      0.92918677
       2.3012101      0.92654302     0.024884945      0.91524409
       2.3012717      0.92282862     0.022483822      0.90431762
       2.3013333      0.92816430     0.032865921      0.90184051
       2.3013950      0.90666105     0.046601459      0.90727527
       2.3014566      0.94619598     0.035826177      0.91970122
       2.3015182      0.96062338     0.047819990      0.93676563
       2.3015798      0.94283167     0.037899381      0.95016599
       2.3016414      0.94914185     0.036764576      0.95910518
       2.3017031      0.98029096     0.033355954      0.96412006
       2.3017647      0.98263390     0.035727718      0.96635843
       2.3018263      0.95382676     0.043765608      0.96046769
       2.3018879      0.94589117     0.025912892      0.94951904
       2.3019496      0.97277524     0.033795833      0.94248167
       2.3020112      0.94629101     0.054651311      0.94225050
       2.3020728      0.97982613     0.035980718      0.94912788
       2.3021344      0.99740743     0.035820599      0.96227613
       2.3021960      0.96515987     0.041248102      0.97840020
       2.3022577       1.0163427     0.044731837      0.99787766
       2.3023193       1.0436282     0.047584415       1.0179690
       2.3023809       1.0300092     0.046994052       1.0305931
       2.3024425      0.99097330     0.038036646       1.0381207
       2.3025042      0.99397225     0.034950323       1.0407520
       2.3025658       1.0262073     0.045732708       1.0361062
       2.3026274       1.0375949     0.030130674       1.0271623
       2.3026890       1.0002695     0.048029192       1.0120241
       2.3027506       1.0044345     0.065921910      0.99371286
       2.3028123      0.99785606     0.030993469      0.97954944
       2.3028739      0.98762568     0.037604005      0.97097769
       2.3029355      0.96180415     0.026395829      0.96742799
       2.3029971      0.93178732     0.024237358      0.96905791
       2.3030588      0.96391776     0.032273345      0.97611318
       2.3031204      0.98498255     0.035516212      0.98463115
       2.3031820      0.99900488     0.037195615      0.98650126
       2.3032436      0.97774462     0.035010252      0.98473716
       2.3033052      0.98024472     0.034261678      0.98298027
       2.3033669       1.0037874     0.054441663      0.98222082
       2.3034285       1.0151971     0.061187393      0.98291916
       2.3034901      0.97332446     0.031579543      0.98400892
       2.3035517      0.96859727     0.036060185      0.98218729
