# SPECTRUM - DATA AND BEST FITTING MODEL.
# FOR PLOTTING
#
# Config file was: /home/mtannock/ModelFittingTools/ExampleFitting1/config1.txt
# Input keywords were: /home/mtannock/ModelFittingTools/ExampleFitting1/config1.txt
#     2MASS0817
#     ~/ModelFittingTools/ExampleFitting1/sampledata1/
#     2M0817_Hband_order2_correct_uncert_best3_epochs.txt
#     2M0817_Hband_order2_correct_uncert_best3_epochs.txt
#     IGRINS
#     SONORA-BOBCAT
#     ~/ModelFittingTools/ExampleFitting1/samplemodels1/
#     ~/ModelFittingTools/ExampleFitting1/SonoraBobcatModelNames.txt
#     m100
#     1.779,1.798
#     1.779,1.798
#     0
#     ~/ModelFittingTools/ExampleFitting1/
#     Sept10_2022
#     21
#     23
#     0.5
#     8
#     11
#     0.5
#     0.6
#     0.01405
#     35
#     ~/ModelFittingTools/ExampleFitting1/samplemodels1/
#     Quadratic
#     -7.0
#     1
#
# MODEL IS: sp_t1200g3160nc_m0.0
# VSINI IS: 22.000000
# RV IS: 10.500000
# DATA divided by quadratic (ax^2 + bx + c) -- a: -357.17147
# DATA divided by quadratic (ax^2 + bx + c) -- b: 1280.2255
# DATA divided by quadratic (ax^2 + bx + c) -- c: -1146.2311
# reduced chi square is:        19.652490
#
# wavelength (um),    data flux,      uncertainty,     model flux
       1.7808799       1.4397428     0.056805386       1.3784528
       1.7808927       1.3509086     0.058500832       1.2874016
       1.7809056       1.2526173     0.058568283       1.2034936
       1.7809184       1.3003130     0.058370529       1.1265354
       1.7809312       1.1538526     0.057785506       1.0537538
       1.7809441      0.93185410     0.057424532      0.98283139
       1.7809569      0.87419670     0.055747627      0.91392825
       1.7809697      0.79052382     0.055496806      0.85192853
       1.7809826      0.70669440     0.055225305      0.80000696
       1.7809954      0.73881753     0.056477350      0.75819403
       1.7810082      0.75902830     0.056300863      0.72531173
       1.7810210      0.61907639     0.058696119      0.69886812
       1.7810339             NaN             NaN      0.67607899
       1.7810467             NaN             NaN      0.65593099
       1.7810595             NaN             NaN      0.63821817
       1.7810723             NaN             NaN      0.62107728
       1.7810851             NaN             NaN      0.59728275
       1.7810980             NaN             NaN      0.56210584
       1.7811108             NaN             NaN      0.51606296
       1.7811236             NaN             NaN      0.46362065
       1.7811364             NaN             NaN      0.41125894
       1.7811492             NaN             NaN      0.36376080
       1.7811620             NaN             NaN      0.32526708
       1.7811748             NaN             NaN      0.29742906
       1.7811876             NaN             NaN      0.27770046
       1.7812004             NaN             NaN      0.26460688
       1.7812132             NaN             NaN      0.25853862
       1.7812260             NaN             NaN      0.25905818
       1.7812388             NaN             NaN      0.26628319
       1.7812516             NaN             NaN      0.28180429
       1.7812644             NaN             NaN      0.30718231
       1.7812772             NaN             NaN      0.34170494
       1.7812899             NaN             NaN      0.38158374
       1.7813027      0.48013888     0.090685935      0.42280691
       1.7813155      0.53862419     0.078956951      0.45987808
       1.7813283      0.61682883     0.067834041      0.49187971
       1.7813411      0.50119360     0.063358183      0.51798236
       1.7813539      0.58615590     0.059559066      0.53708720
       1.7813666      0.48688315     0.056807870      0.54703503
       1.7813794      0.38242832     0.057144034      0.54720047
       1.7813922      0.51362729     0.058029769      0.53936104
       1.7814050      0.45398018     0.060141572      0.52670757
       1.7814177      0.49900276     0.058588965      0.51113446
       1.7814305      0.52850617     0.057219289      0.49700870
       1.7814433      0.37998930     0.054220701      0.48663873
       1.7814560      0.45652709     0.051940822      0.47942002
       1.7814688      0.42663470     0.049749530      0.47234112
       1.7814816      0.43976613     0.049004704      0.46568988
       1.7814943      0.44044273     0.047545834      0.46377565
       1.7815071      0.46860545     0.046972488      0.46772542
       1.7815198      0.44184145     0.046771655      0.47660592
       1.7815326      0.50268688     0.046669803      0.48865933
       1.7815453      0.48846487     0.046046116      0.50294641
       1.7815581      0.55500791     0.045120698      0.51968574
       1.7815708      0.42870565     0.045599508      0.53808514
       1.7815836      0.62068526     0.045292746      0.55542869
       1.7815963      0.66848708     0.045301099      0.56915628
       1.7816091      0.61349289     0.045564954      0.57650211
       1.7816218      0.64607665     0.046727165      0.57647951
       1.7816346      0.61340830     0.048384052      0.56873400
       1.7816473      0.70149465     0.052788313      0.55404806
       1.7816600      0.56874544     0.058116210      0.53377277
       1.7816728      0.51615968     0.063189596      0.50946638
       1.7816855      0.57359387     0.065436890      0.48143855
       1.7816982      0.64362302     0.064458618      0.44867175
       1.7817110      0.55658339     0.059112633      0.41205458
       1.7817237      0.47959583     0.053742796      0.37452112
       1.7817364      0.19472546     0.049879886      0.34161858
       1.7817491      0.25251540     0.048975952      0.31695318
       1.7817619      0.21634769     0.050231160      0.30403598
       1.7817746      0.31559166     0.050684623      0.30334458
       1.7817873      0.26268652     0.050309369      0.31585860
       1.7818000      0.26551186     0.049392983      0.34204830
       1.7818127      0.38058702     0.047548842      0.38216278
       1.7818255      0.41998688     0.045233159      0.43647886
       1.7818382      0.42444773     0.043998832      0.50496296
       1.7818509      0.56216961     0.043753069      0.58581895
       1.7818636      0.67378143     0.045844568      0.67652985
       1.7818763      0.95032351     0.049421224      0.77371441
       1.7818890      0.79648822     0.052504357      0.87555835
       1.7819017      0.91888985     0.054666363      0.97986482
       1.7819144       1.0189405     0.053942379       1.0852160
       1.7819271       1.2216341     0.051200977       1.1934213
       1.7819398       1.2697714     0.048649119       1.3043716
       1.7819525       1.3752296     0.045989190       1.4165646
       1.7819652       1.4364166     0.044064818       1.5259324
       1.7819779       1.5560456     0.043310754       1.6291749
       1.7819906       1.6052540     0.043490965       1.7226421
       1.7820033       1.8092667     0.043566849       1.8046376
       1.7820160       1.7963052     0.043904741       1.8754495
       1.7820287       1.7754193     0.043850107       1.9371192
       1.7820414       1.9633058     0.043512851       1.9900011
       1.7820540       2.1074204     0.043124227       2.0345688
       1.7820667       2.1718213     0.042927338       2.0715064
       1.7820794       2.1411192     0.043343452       2.1023124
       1.7820921       2.1775336     0.043620522       2.1284488
       1.7821048       2.1976159     0.043411423       2.1506669
       1.7821174       2.1407143     0.043780183       2.1681088
       1.7821301       2.1900003     0.043509572       2.1792359
       1.7821428       2.1644197     0.043562692       2.1831140
       1.7821554       2.1650946     0.043470451       2.1802847
       1.7821681       2.1355421     0.042762707       2.1714183
       1.7821808       2.1427191     0.042996690       2.1564027
       1.7821935       2.2015678     0.043168134       2.1339006
       1.7822061       2.1931003     0.043377054       2.1018872
       1.7822188       1.9994001     0.043244102       2.0577242
       1.7822314       2.0390308     0.042812389       1.9977932
       1.7822441       1.9559111     0.042767845       1.9238135
       1.7822568       1.8734519     0.044648272       1.8422291
       1.7822694       1.8769802     0.047254747       1.7609841
       1.7822821       1.7151227     0.048846601       1.6813341
       1.7822947       1.6222811     0.048690776       1.6068797
       1.7823074       1.6033334     0.047629698       1.5399145
       1.7823200       1.4944121     0.045076383       1.4825054
       1.7823327       1.3520039     0.043293220       1.4357258
       1.7823453       1.3831553     0.041807212       1.3998455
       1.7823580       1.3122701     0.040718431       1.3724032
       1.7823706       1.2132811     0.040432240       1.3503243
       1.7823832       1.1270922     0.040328239       1.3309230
       1.7823959       1.1220723     0.040269331       1.3158746
       1.7824085       1.1603996     0.040249944       1.3069297
       1.7824211       1.2403268     0.039882989       1.3026635
       1.7824338       1.2253916     0.040020132       1.3024832
       1.7824464       1.2278149     0.040016909       1.3092800
       1.7824590       1.2644338     0.040520644       1.3246258
       1.7824717       1.2993226     0.040291406       1.3462547
       1.7824843       1.2873909     0.040844683       1.3665013
       1.7824969       1.2786555     0.041837213       1.3826138
       1.7825095       1.2962138     0.043693585       1.3891554
       1.7825222       1.3080417     0.045063696       1.3832047
       1.7825348       1.3550082     0.046500970       1.3701985
       1.7825474       1.3083876     0.045983990       1.3565408
       1.7825600       1.2395272     0.044556168       1.3470730
       1.7825726       1.2978109     0.043526881       1.3450634
       1.7825853       1.3690532     0.041200838       1.3527478
       1.7825979       1.5399177     0.040211994       1.3729878
       1.7826105       1.4616159     0.039907267       1.4057547
       1.7826231       1.5093198     0.039546453       1.4496794
       1.7826357       1.5035399     0.039662893       1.4994327
       1.7826483       1.5668680     0.039303582       1.5498424
       1.7826609       1.5537021     0.038644672       1.5930894
       1.7826735       1.5993340     0.038601302       1.6277706
       1.7826861       1.7021801     0.038692486       1.6522726
       1.7826987       1.6548609     0.038627722       1.6635541
       1.7827113       1.6029536     0.038340051       1.6608359
