# Config file was: /home/mtannock/ModelFittingTools/ExampleFitting1/config1.txt
# Input keywords were: /home/mtannock/ModelFittingTools/ExampleFitting1/config1.txt
#     2MASS0817
#     ~/ModelFittingTools/ExampleFitting1/sampledata1/
#     2M0817_Hband_order2_correct_uncert_best3_epochs.txt
#     2M0817_Hband_order2_correct_uncert_best3_epochs.txt
#     IGRINS
#     SONORA-BOBCAT
#     ~/ModelFittingTools/ExampleFitting1/samplemodels1/
#     ~/ModelFittingTools/ExampleFitting1/SonoraBobcatModelNames.txt
#     m100
#     1.779,1.798
#     1.779,1.798
#     0
#     ~/ModelFittingTools/ExampleFitting1/
#     Sept10_2022
#     21
#     23
#     0.5
#     8
#     11
#     0.5
#     0.6
#     0.01405
#     35
#     ~/ModelFittingTools/ExampleFitting1/samplemodels1/
#     Quadratic
#     -7.0
#     1
#
# TELLURIC LINE MASK APPLIED, <35% TRANSMISSION (from PSG) AND OH EMISSION LINES
#
# Filename                                  T_eff             log(g)         f_sed             chisquare       d.o.f.             reduchisquare    vsini(km/s)     rv(km/s)       a        b       c
sp_t1200g3160nc_m0.0   1200    3160    0           27956.988       1412.0000       19.799567       22.000000         11.000000       -339.80365       1218.1605      -1090.7830
sp_t1200g3160nc_m0.0   1200    3160    0           30908.149       1412.0000       21.889624       22.500000         8.0000000       -442.68026       1585.8235      -1419.2738
sp_t1200g3160nc_m0.0   1200    3160    0           29717.638       1412.0000       21.046486       22.500000         8.5000000       -425.02520       1522.7224      -1362.8911
sp_t1200g3160nc_m0.0   1200    3160    0           28807.391       1412.0000       20.401835       22.500000         9.0000000       -407.33837       1459.5086      -1306.4083
sp_t1200g3160nc_m0.0   1200    3160    0           28174.172       1412.0000       19.953379       22.500000         9.5000000       -389.73497       1396.5962      -1250.1981
sp_t1200g3160nc_m0.0   1200    3160    0           27823.033       1412.0000       19.704698       22.500000         10.000000       -372.04900       1333.3899      -1193.7260
sp_t1200g3160nc_m0.0   1200    3160    0           27753.511       1412.0000       19.655461       22.500000         10.500000       -354.51605       1270.7316      -1137.7450
sp_t1200g3160nc_m0.0   1200    3160    0           27959.596       1412.0000       19.801414       22.500000         11.000000       -336.99494       1208.1179      -1081.8058
sp_t1200g3160nc_m0.0   1200    3160    0           30922.861       1412.0000       21.900043       23.000000         8.0000000       -434.40872       1556.2611      -1392.8588
sp_t1200g3160nc_m0.0   1200    3160    0           29744.259       1412.0000       21.065339       23.000000         8.5000000       -416.39633       1491.8816      -1335.3328
sp_t1200g3160nc_m0.0   1200    3160    0           28841.696       1412.0000       20.426130       23.000000         9.0000000       -398.66951       1428.5248      -1278.7223
sp_t1200g3160nc_m0.0   1200    3160    0           28212.532       1412.0000       19.980547       23.000000         9.5000000       -380.98222       1365.3114      -1222.2418
sp_t1200g3160nc_m0.0   1200    3160    0           27860.289       1412.0000       19.731083       23.000000         10.000000       -363.37542       1302.3878      -1166.0224
sp_t1200g3160nc_m0.0   1200    3160    0           27784.303       1412.0000       19.677268       23.000000         10.500000       -345.69743       1239.2107      -1109.5773
sp_t1200g3160nc_m0.0   1200    3160    0           27979.681       1412.0000       19.815638       23.000000         11.000000       -328.05281       1176.1548      -1053.2423
