# Config file was: /home/mtannock/ModelFittingTools/ExampleFitting2/config.txt
# Input keywords were: /home/mtannock/ModelFittingTools/ExampleFitting2/config.txt
#     2MASS0407
#     /home/mtannock/ModelFittingTools/ExampleFitting2/sampledata2/
#     2M0407_GNIRS_baryvelcor_Nov9.dat
#     2M0407_GNIRS_error_baryvelcor_Nov9.dat
#     GNIRS
#     BTSETTL-CIFIST2011
#     /home/mtannock/ModelFittingTools/ExampleFitting2/samplemodels2/
#     /home/mtannock/ModelFittingTools/ExampleFitting2/BT-Settlmodelnames.txt
#     K
#     2.275,2.3322
#     2.31,2.32
#     0
#     /home/mtannock/ModelFittingTools/ExampleFitting2/
#     Sept10_2022
#     80
#     85
#     1.0
#     40
#     45
#     1.0
#     0.6
#     0.018
#     0
#     /home/mtannock/ModelFittingTools/ExampleFitting2/samplemodels2/
#     Scale
#     5
#     1
#
# NO TELLURIC LINE MASK APPLIED
#
# Filename                                  T_eff             log(g)         f_sed             chisquare       d.o.f.             reduchisquare    vsini(km/s)     rv(km/s)       scale
lte017-5.0-0.0a+0.0.BT-Settl.spec.7   1700    5    0           1151.4875       927.00000       1.2421656       80.000000         43.000000       0.98769659
lte017-5.0-0.0a+0.0.BT-Settl.spec.7   1700    5    0           1152.4438       927.00000       1.2431972       80.000000         44.000000       0.98757579
lte017-5.0-0.0a+0.0.BT-Settl.spec.7   1700    5    0           1156.0192       927.00000       1.2470542       80.000000         45.000000       0.98745905
lte017-5.0-0.0a+0.0.BT-Settl.spec.7   1700    5    0           1155.2993       927.00000       1.2462776       81.000000         40.000000       0.98815311
lte017-5.0-0.0a+0.0.BT-Settl.spec.7   1700    5    0           1148.1876       927.00000       1.2386059       81.000000         41.000000       0.98804338
lte017-5.0-0.0a+0.0.BT-Settl.spec.7   1700    5    0           1143.6489       927.00000       1.2337097       81.000000         42.000000       0.98792933
lte017-5.0-0.0a+0.0.BT-Settl.spec.7   1700    5    0           1141.7672       927.00000       1.2316799       81.000000         43.000000       0.98781403
lte017-5.0-0.0a+0.0.BT-Settl.spec.7   1700    5    0           1142.4753       927.00000       1.2324437       81.000000         44.000000       0.98769876
lte017-5.0-0.0a+0.0.BT-Settl.spec.7   1700    5    0           1145.6900       927.00000       1.2359115       81.000000         45.000000       0.98758316
lte017-5.0-0.0a+0.0.BT-Settl.spec.7   1700    5    0           1149.1510       927.00000       1.2396451       82.000000         40.000000       0.98825404
lte017-5.0-0.0a+0.0.BT-Settl.spec.7   1700    5    0           1141.9562       927.00000       1.2318838       82.000000         41.000000       0.98814256
lte017-5.0-0.0a+0.0.BT-Settl.spec.7   1700    5    0           1137.3170       927.00000       1.2268792       82.000000         42.000000       0.98803036
lte017-5.0-0.0a+0.0.BT-Settl.spec.7   1700    5    0           1135.2219       927.00000       1.2246191       82.000000         43.000000       0.98792087
lte017-5.0-0.0a+0.0.BT-Settl.spec.7   1700    5    0           1135.6689       927.00000       1.2251013       82.000000         44.000000       0.98781115
lte017-5.0-0.0a+0.0.BT-Settl.spec.7   1700    5    0           1138.5243       927.00000       1.2281815       82.000000         45.000000       0.98769782
lte017-5.0-0.0a+0.0.BT-Settl.spec.7   1700    5    0           1144.1724       927.00000       1.2342744       83.000000         40.000000       0.98837168
lte017-5.0-0.0a+0.0.BT-Settl.spec.7   1700    5    0           1137.0241       927.00000       1.2265633       83.000000         41.000000       0.98825898
lte017-5.0-0.0a+0.0.BT-Settl.spec.7   1700    5    0           1132.3163       927.00000       1.2214847       83.000000         42.000000       0.98814824
lte017-5.0-0.0a+0.0.BT-Settl.spec.7   1700    5    0           1129.9624       927.00000       1.2189454       83.000000         43.000000       0.98804203
lte017-5.0-0.0a+0.0.BT-Settl.spec.7   1700    5    0           1129.9604       927.00000       1.2189433       83.000000         44.000000       0.98793475
lte017-5.0-0.0a+0.0.BT-Settl.spec.7   1700    5    0           1132.3413       927.00000       1.2215116       83.000000         45.000000       0.98782509
lte017-5.0-0.0a+0.0.BT-Settl.spec.7   1700    5    0           1142.2188       927.00000       1.2321669       84.000000         40.000000       0.98848227
lte017-5.0-0.0a+0.0.BT-Settl.spec.7   1700    5    0           1135.0644       927.00000       1.2244492       84.000000         41.000000       0.98837260
lte017-5.0-0.0a+0.0.BT-Settl.spec.7   1700    5    0           1130.1764       927.00000       1.2191763       84.000000         42.000000       0.98826251
lte017-5.0-0.0a+0.0.BT-Settl.spec.7   1700    5    0           1127.5800       927.00000       1.2163754       84.000000         43.000000       0.98815327
lte017-5.0-0.0a+0.0.BT-Settl.spec.7   1700    5    0           1127.3294       927.00000       1.2161050       84.000000         44.000000       0.98804181
lte017-5.0-0.0a+0.0.BT-Settl.spec.7   1700    5    0           1129.4479       927.00000       1.2183904       84.000000         45.000000       0.98793102
lte017-5.0-0.0a+0.0.BT-Settl.spec.7   1700    5    0           1143.3704       927.00000       1.2334092       85.000000         40.000000       0.98856356
lte017-5.0-0.0a+0.0.BT-Settl.spec.7   1700    5    0           1136.2155       927.00000       1.2256909       85.000000         41.000000       0.98845323
lte017-5.0-0.0a+0.0.BT-Settl.spec.7   1700    5    0           1131.2437       927.00000       1.2203276       85.000000         42.000000       0.98834433
lte017-5.0-0.0a+0.0.BT-Settl.spec.7   1700    5    0           1128.4541       927.00000       1.2173183       85.000000         43.000000       0.98823693
lte017-5.0-0.0a+0.0.BT-Settl.spec.7   1700    5    0           1127.9029       927.00000       1.2167237       85.000000         44.000000       0.98812637
lte017-5.0-0.0a+0.0.BT-Settl.spec.7   1700    5    0           1129.7009       927.00000       1.2186634       85.000000         45.000000       0.98801725
lte017-5.5-0.0a+0.0.BT-Settl.spec.7   1700    5.5    0           2012.3891       927.00000       2.1708621       80.000000         40.000000       0.99127708
lte017-5.5-0.0a+0.0.BT-Settl.spec.7   1700    5.5    0           2006.5105       927.00000       2.1645205       80.000000         41.000000       0.99121040
